region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Кіровоградська,2020-04-18,0.9795537377585086,0.9872310781433121,0.6707194771574769,1.348765917235666,0.8838372540650222,1.1035763425978633
Кіровоградська,2020-04-19,0.9727110814959834,0.9832933469327247,0.6335891653322823,1.304683377221251,0.913162004139765,1.1296476269009756
Кіровоградська,2020-04-20,0.9694145812393156,0.9832504035514533,0.6054046584493148,1.304808784794981,0.8892729517369241,1.121704439143926
Кіровоградська,2020-04-21,0.9621836747914171,0.9798037265002582,0.6361313279104261,1.3294304173993121,0.8928167769986496,1.1286064274857306
Кіровоградська,2020-04-22,0.9570973013328467,0.973590865208697,0.6292914938786487,1.332868284863976,0.8720382569118631,1.106831765807477
Кіровоградська,2020-04-23,0.9510859541360746,0.9719916706605009,0.5992306357123348,1.3274857772154462,0.8966596484045409,1.1320391510524925
Кіровоградська,2020-04-24,0.9469535876846771,0.9729832224132282,0.5755069213277864,1.3262091053406146,0.8933784546564913,1.1255458483460778
Кіровоградська,2020-04-25,0.946816622360522,0.9713228198786851,0.6151022484011356,1.3718881225842,0.8918307227980632,1.1313141021025261
Кіровоградська,2020-04-26,0.9476108993969472,0.9797800219987411,0.5868636544264887,1.3268404718065359,0.890003046276269,1.1349849047241818
Кіровоградська,2020-04-27,0.9432495091994311,0.9780020089038576,0.5699347023239142,1.3258673658756503,0.8742756495387484,1.1202299297589582
Кіровоградська,2020-04-28,0.9456955894088408,0.9779146565090574,0.5560683249537751,1.3288875784939387,0.8535728524786789,1.0966793018067287
Кіровоградська,2020-04-29,0.9459746022381104,0.9775359998428368,0.5374399447135414,1.3335338653890534,0.8764230680421536,1.1160162669114722
Кіровоградська,2020-04-30,0.95006202104792,0.9715926715817895,0.5512886681614804,1.3469400757419276,0.8596923781709974,1.098312006499031
Кіровоградська,2020-05-01,0.9534781689173892,0.9721244700955436,0.5166909652720956,1.313779312549435,0.8638208761057687,1.1148413339484886
Кіровоградська,2020-05-02,0.9578233284810032,0.9786288065741409,0.5682776242738651,1.382921110027286,0.8783979186849702,1.1233207411105546
Кіровоградська,2020-05-03,0.961052593163074,0.9779985216181335,0.5376456439601031,1.3619991855658404,0.8816747095997193,1.1280080520408469
